1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
$800,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$800'}]",Fresno,"Fresno, CA 93727",12 Month Lease,https://www.apartments.com/4860-e-lane-ave-fresno-ca-unit-125/42pg87k/,600,600 Sq Ft,CA,,Condos,93727
,"$2,500",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Walnut Creek,"Walnut Creek, CA 94595",12 Month Lease,https://www.apartments.com/1249-leisure-ln-walnut-creek-ca-unit-3/3wz4kpd/,"1,081","1,081 Sq Ft",CA,,Condos,94595
,,"$6,200",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,200'}]",2865 Park Blvd,"Palo Alto, CA 94306",,https://www.apartments.com/2865-park-blvd-palo-alto-ca/9qwxj14/,"1,420","1,420 Sq Ft",Palo Alto,,Condos,CA
"$6,000",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$6,000'}]",1359 Plaza Pacifica,"Montecito, CA 93108",,https://www.apartments.com/1359-plaza-pacifica-montecito-ca/q3jgtry/,,,Montecito,,Condos,CA
"$3,795",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,795'}]",13700 Marina Pointe Dr,"Marina del Rey, CA 90292",,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-509/qx8xgsw/,,,Marina del Rey,,Condos,CA
,"$4,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,300'}]",900 Euclid St,"Santa Monica, CA 90403",,https://www.apartments.com/900-euclid-st-santa-monica-ca-unit-110/vg1jede/,,,Santa Monica,,Condos,CA
,,"$9,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$9,500'}]",900 W Olympic Blvd,"Los Angeles, CA 90015",,https://www.apartments.com/900-w-olympic-blvd-los-angeles-ca-unit-34j/0xbchk2/,,,Los Angeles,,Condos,CA
"$3,200",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,200'}]",610 The Village,"Redondo Beach, CA 90277",,https://www.apartments.com/610-the-village-redondo-beach-ca-unit-305/0fl1k51/,,,Redondo Beach,,Condos,CA
,,"$6,000",,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",79880 Pecan Valley,"La Quinta, CA 92253",,https://www.apartments.com/79880-pecan-valley-la-quinta-ca/rd7f4c0/,,,La Quinta,,Condos,CA
,,"$13,000",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$13,000'}]",26170 Pacific Coast Hwy,"Malibu, CA 90265",,https://www.apartments.com/26170-pacific-coast-hwy-malibu-ca/cp64t6g/,,,Malibu,,Condos,CA
,,"$6,750",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,750'}]",719 Crestmoore Pl,"Los Angeles, CA 90291",,https://www.apartments.com/719-crestmoore-pl-los-angeles-ca/x0w0r2m/,,,Los Angeles,,Condos,CA
,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$2,700'}]",11850 Coral Reef Ln,"Malibu, CA 90265",,https://www.apartments.com/11850-coral-reef-ln-malibu-ca-unit-b/jm4mwn7/,,,Malibu,"$2,700",Condos,CA
