1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,095'}]",Long Beach,"323 W 4th St, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/323-w-4th-st-long-beach-ca-unit-307/bpq1skc/,375,375 Sq Ft,CA,"$1,095 ",Condos,90802
"$1,795 ",,,17-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}]",Glendale,"211 E California Ave, Glendale, CA 91206",12 Month Lease,https://www.apartments.com/211-e-california-ave-glendale-ca-unit-c3/qx0kg2y/,671,671 Sq Ft,CA,,Condos,91206
,"$1,750 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]",Santee,"9885 Caspi Gardens Dr, Santee, CA 92071",1 Month Lease,https://www.apartments.com/9885-caspi-gardens-dr-santee-ca-unit-3/yffjkcs/,912,912 Sq Ft,CA,,Condos,92071
,"$2,400 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",Los Angeles,"19009 Sherman Way, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/19009-sherman-way-los-angeles-ca-unit-35/sehpz44/,"1,060","1,060 Sq Ft",CA,,Condos,91335
,"$4,195 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,195'}]",Los Angeles,"6400 Pacific Ave, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/6400-pacific-ave-los-angeles-ca-unit-104/4ff0w6l/,"1,200","1,200 Sq Ft",CA,,Condos,90293
,"$3,950 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,950'}]",Los Angeles,"13200 Pacific Promenade, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/13200-pacific-promenade-los-angeles-ca-unit-447/50d612q/,"1,220","1,220 Sq Ft",CA,,Condos,90094
,"$3,900 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",San Diego,"200 Harbor Dr, San Diego, CA 92101",12 Month Lease,https://www.apartments.com/200-harbor-dr-san-diego-ca-unit-1201/cme1d6g/,"1,572","1,572 Sq Ft",CA,,Condos,92101
,,"$4,250 ",1-Nov,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,250'}]",Hermosa Beach,"1860 Pacific Coast Hwy, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/1860-pacific-coast-hwy-hermosa-beach-ca-unit-b/zke2fdy/,"1,543","1,543 Sq Ft",CA,,Condos,90254
,"$3,495 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]",West Hollywood,"930 N Doheny Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/930-n-doheny-dr-west-hollywood-ca-unit-206/gns3bwy/,"1,245","1,245 Sq Ft",CA,,Condos,90069
"$3,000 ",,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]",Los Angeles,"500 S Barrington Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/500-s-barrington-ave-los-angeles-ca-unit-1/gq9dxwz/,"1,600","1,600 Sq Ft",CA,,Condos,90049
