1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$1,150",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,150'}]",1313 Floyd Ave,"Modesto, CA 95355",,https://www.apartments.com/1313-floyd-ave-modesto-ca/he653q3/,904,904 Sq Ft,Modesto,,Townhomes,CA
,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$7,900'}]",6518 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6518-del-playa-dr-goleta-ca/nt8swsp/,,,Goleta,"$7,900",Townhomes,CA
,,,,Available Now,3 BAs,"[{'bedroom_type': 'Studio', 'price': '$9,400'}]",6598 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6598-del-playa-dr-goleta-ca/dxhw7fh/,,,Goleta,"$9,400",Townhomes,CA
,$750,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$750'}]",6668 Smoketree Ave,"Twentynine Palms, CA 92277",,https://www.apartments.com/6668-smoketree-ave-twentynine-palms-ca/fwgl24v/,790,790 Sq Ft,Twentynine Palms,,Townhomes,CA
$782,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$782'}]",1391 E Sumner Ave,"Fowler, CA 93625",12 Month Lease,https://www.apartments.com/1391-e-sumner-ave-fowler-ca/73mtl6w/,,,Fowler,,Townhomes,CA
$864,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$864'}]",9565 Flores Dr,"San Joaquin, CA 93660",12 Month Lease,https://www.apartments.com/9565-flores-dr-san-joaquin-ca/8qw8461/,,,San Joaquin,,Townhomes,CA
$759,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$759'}]",11059 State St,"Columbia, CA 95310",12 Month Lease,https://www.apartments.com/11059-state-st-columbia-ca/3ekq3yf/,,,Columbia,,Townhomes,CA
,"$3,695",,,Jul 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,695'}]",6731 Trigo Rd,"Goleta, CA 93117",,https://www.apartments.com/6731-trigo-rd-goleta-ca/31xpxse/,"1,000","1,000 Sq Ft",Goleta,,Townhomes,CA
,,,,Available Now,3 BAs,"[{'bedroom_type': 'Studio', 'price': '$8,900'}]",6598 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6598-del-playa-dr-goleta-ca/fj0ylgv/,,,Goleta,"$8,900",Townhomes,CA
,,,,Available Now,3 BAs,"[{'bedroom_type': 'Studio', 'price': '$8,300'}]",6602 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6602-del-playa-dr-goleta-ca/qqwv90x/,,,Goleta,"$8,300",Townhomes,CA
,,"$4,600",,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]",6622 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6622-del-playa-dr-goleta-ca/b80w679/,,,Goleta,,Townhomes,CA
,,,,Available Now,2 BAs,"[{'bedroom_type': 'Studio', 'price': '$6,900'}]",6518 Del Playa Dr,"Goleta, CA 93117",,https://www.apartments.com/6518-del-playa-dr-goleta-ca/dldtneh/,,,Goleta,"$6,900",Townhomes,CA
,,"$3,250",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]",1900 California St,"Mountain View, CA 94040",,https://www.apartments.com/1900-california-st-mountain-view-ca/60rz9gr/,"1,500","1,500 Sq Ft",Mountain View,,Townhomes,CA
"$3,995",,,,Oct 31,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,995'}]",4878 Pescadero Ave,"San Diego, CA 92107",,https://www.apartments.com/4878-pescadero-ave-san-diego-ca/xzh5xsn/,"1,000","1,000 Sq Ft",San Diego,,Townhomes,CA
,"$4,000",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",5420 Harold Way,"5420 Harold Way, Los Angeles, CA 90027",,https://www.apartments.com/2-bedroom-in-los-angeles-ca-90027-los-angeles-ca/3gte81f/,,,Los Angeles,,Townhomes,CA
