Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Camarillo,"1300 Calle Lozano, Camarillo, CA 93012",$352/month,Townhouse,https://www.zillow.com/homedetails/1300-Calle-Lozano-Camarillo-CA-93012/16375684_zpid/,Townhouse for sale,901 sqft,901.0,2 spaces,"$509,000","$2,600/mo","1,252",CA,1300 Calle Lozano,1984,"$507,261",$407,93012
3,3,Corona,"1424 Camelot Dr, Corona, CA 92882",$365/month,Townhouse,https://www.zillow.com/homedetails/1424-Camelot-Dr-Corona-CA-92882/17765008_zpid/,Townhouse for sale,"1,742 sqft",1742.0,2 spaces,"$339,900","$1,945/mo","1,369",CA,1424 Camelot Dr,1972,"$339,903",$248,92882
3,3,OakWalk,"The Cottonwood - Plan 5 Plan, Oak Walk",$283/month,Townhouse,https://www.zillow.com/community/oak-walk/2080931887_zpid/,New construction,No Data,null,3 spaces,"$812,990+",null,"1,971",null,The Cottonwood - Plan 5 Plan,2020,null,$412,null
3,2,Lantana@Beach,"Gardens Plan 1 Plan, Lantana @Beach",null,Townhouse,https://www.zillow.com/community/lantana-beach/2081046658_zpid/,New construction,No Data,null,2 spaces,"$505,880+",null,"1,255",null,Gardens Plan 1 Plan,2020,null,$403,null
1,1,Graham,"Residence Three - Loft Plan, Graham",null,Townhouse,https://www.zillow.com/community/graham/2081868423_zpid/,New construction,No Data,null,No Data,"$795,000+",null,996,null,Residence Three - Loft Plan,2020,null,$798,null
3,2,SanClemente,"822 Calle Pluma, San Clemente, CA 92673",$285/month,Townhouse,https://www.zillow.com/homedetails/822-Calle-Pluma-San-Clemente-CA-92673/25587294_zpid/,Townhouse for sale,"1,467 sqft",1467.0,2 spaces,"$699,999","$3,100/mo","1,534",CA,822 Calle Pluma,1975,"$700,002",$456,92673
4,4,CitySquare,"Residence 2 Plan, CitySquare",null,Townhouse,https://www.zillow.com/community/citysquare/2085181178_zpid/,New construction,No Data,null,2 spaces,"$880,000+",null,"2,076",null,Residence 2 Plan,2020,null,$424,null
4,4,Violet,"Residence 3 Plan, Violet",null,Townhouse,https://www.zillow.com/community/violet/2080511505_zpid/,New construction,No Data,null,2 spaces,"$673,235+",null,"2,179",null,Residence 3 Plan,2020,null,$309,null
3,3,LosAngeles,"10831 Roycroft St UNIT 25, Los Angeles, CA 91352",$350/month,Townhouse,https://www.zillow.com/homedetails/10831-Roycroft-St-UNIT-25-Los-Angeles-CA-91352/20089600_zpid/,Townhouse for sale,18.1 acres,788436.0,4 spaces,"$595,000","$2,885/mo","1,376",CA,10831 Roycroft St UNIT 25,1979,"$606,911",$432,91352
4,4,Innovation:Fuse,"Residence 5A Plan, Innovation : Fuse",null,Townhouse,https://www.zillow.com/community/innovation-fuse/2087796335_zpid/,New construction,No Data,null,No Data,"$1,188,880+",null,"2,292",null,Residence 5A Plan,2020,null,$519,null
3,3,SanJose,"430 Yogi Ct, San Jose, CA",null,null,https://www.zillow.com/community/capitol/2080822600_zpid/,New construction,null,null,null,"$884,990+",null,"1,561",CA,430 Yogi Ct,null,null,null,null
