Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,Dublin,"10704 Ian Ln, Dublin, CA 94568",$325/month,Condo,https://www.zillow.com/homedetails/10704-Ian-Ln-Dublin-CA-94568/25073631_zpid/,Condo for sale,null,null,2 spaces,"$749,000","$3,200/mo","1,387",CA,10704 Ian Ln,1997,"$774,588",$540,94568
4,4,Irvine,"116 Pacer, Irvine, CA 92618",$225/month,Condo,https://www.zillow.com/homedetails/116-Pacer-Irvine-CA-92618/250187791_zpid/,Condo for sale,null,null,2 spaces,"$1,189,800","$4,350/mo","2,405",CA,116 Pacer,2016,"$1,175,411",$495,92618
1,1,MountainView,"255 S Rengstorff Ave APT 164, Mountain View, CA 94040",$422/month,Condo,https://www.zillow.com/homedetails/255-S-Rengstorff-Ave-APT-164-Mountain-View-CA-94040/19514677_zpid/,Condo for sale,null,null,Carport,"$549,000","$2,569/mo",551,CA,255 S Rengstorff Ave APT 164,1965,"$564,538",$996,94040
2,3,Whittier,"6654 Pine Bluff Dr, Whittier, CA 90601",$416/month,Condo,https://www.zillow.com/homedetails/6654-Pine-Bluff-Dr-Whittier-CA-90601/21426713_zpid/,Condo for sale,null,null,2 spaces,"$555,000","$2,500/mo","1,664",CA,6654 Pine Bluff Dr,1987,"$556,861",$334,90601
3,4,Watsonville,"6 Pelican Point, Watsonville, CA 95076","$1,103/month",Condo,https://www.zillow.com/homedetails/6-Pelican-Point-Watsonville-CA-95076/16145718_zpid/,Condo for sale,null,null,No Data,"$1,100,000","$3,391/mo","1,690",CA,6 Pelican Point,1969,"$1,125,262",$651,95076
3,3,SanDiego,"2615 Caminito Abeto, San Diego, CA 92154",$264/month,Condo,https://www.zillow.com/homedetails/2615-Caminito-Abeto-San-Diego-CA-92154/17171830_zpid/,Condo for sale,null,null,3 spaces,"$385,000","$2,600/mo","1,484",CA,2615 Caminito Abeto,1974,"$394,989",$259,92154
2,3,LosAngeles,"1550 Stadium Way APT 6, Los Angeles, CA 90012",$100/month,Condo,https://www.zillow.com/homedetails/1550-Stadium-Way-APT-6-Los-Angeles-CA-90012/20741532_zpid/,Condo for sale,null,null,3 spaces,"$450,000","$2,795/mo","1,403",CA,1550 Stadium Way APT 6,1975,"$454,438",$321,90012
2,2,LaQuinta,"55244 Oak Tree #A7, La Quinta, CA 92253",$587/month,Condo,https://www.zillow.com/homedetails/55244-Oak-Tree-A7-La-Quinta-CA-92253/18155707_zpid/,Condo for sale,null,null,2 spaces,"$299,000","$2,500/mo","1,330",CA,55244 Oak Tree #A7,1985,"$291,873",$225,92253
3,3,Riverside,"3944 Polk St UNIT B, Riverside, CA 92505",$335/month,Condo,https://www.zillow.com/homedetails/3944-Polk-St-UNIT-B-Riverside-CA-92505/79828607_zpid/,Condo for sale,null,null,2 spaces,"$340,000","$2,100/mo","1,481",CA,3944 Polk St UNIT B,2008,"$340,089",$230,92505
2,2,CastroValley,"19100 Crest Ave APT 76, Castro Valley, CA 94546",$525/month,Condo,https://www.zillow.com/homedetails/19100-Crest-Ave-APT-76-Castro-Valley-CA-94546/24905923_zpid/,Condo for sale,null,null,1 space,"$449,900","$2,700/mo","1,224",CA,19100 Crest Ave APT 76,1973,"$476,903",$368,94546
1,1,SanFrancisco,"226 19th Ave APT 4, San Francisco, CA 94121",$258/month,Condo,https://www.zillow.com/homedetails/226-19th-Ave-APT-4-San-Francisco-CA-94121/241586079_zpid/,Condo for sale,null,null,None,"$799,000","$2,875/mo",738,CA,226 19th Ave APT 4,1923,"$862,720","$1,083",94121
2,2,Glendale,"236 N Louise St UNIT 211, Glendale, CA 91206",$483/month,Condo,https://www.zillow.com/homedetails/236-N-Louise-St-UNIT-211-Glendale-CA-91206/20832977_zpid/,Condo for sale,null,null,2 spaces,"$600,000","$2,400/mo","1,000",CA,236 N Louise St UNIT 211,1980,"$617,473",$600,91206
3,2,DalyCity,"160 Tree View Dr, Daly City, CA 94014",$430/month,Condo,https://www.zillow.com/homedetails/160-Tree-View-Dr-Daly-City-CA-94014/2080566590_zpid/,Condo for sale,null,null,No Data,"$949,000",null,"1,487",CA,160 Tree View Dr,1985,null,$638,94014
1,2,SanDiego,"8767 Navajo Rd UNIT 8, San Diego, CA 92119",$410/month,Condo,https://www.zillow.com/homedetails/8767-Navajo-Rd-UNIT-8-San-Diego-CA-92119/16983646_zpid/,Condo for sale,null,null,1 space,"$299,000","$1,795/mo","1,041",CA,8767 Navajo Rd UNIT 8,1972,"$301,672",$287,92119
1,1,LongBeach,"3565 Linden Ave UNIT 109, Long Beach, CA 90807",$264/month,Condo,https://www.zillow.com/homedetails/3565-Linden-Ave-UNIT-109-Long-Beach-CA-90807/21162807_zpid/,Condo for sale,null,null,1 space,"$299,990","$1,895/mo",660,CA,3565 Linden Ave UNIT 109,1973,"$299,992",$455,90807
