Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$335,000","506 York St, Lodi, CA 95240",506 York St ,Lodi,CA,95240,38.120872,-121.279501,"1,322","8,123 sqft",8123.0,Single Family,1957,2 spaces,None,$253,"$335,001","$1,800/mo",https://www.zillow.com/homedetails/506-York-St-Lodi-CA-95240/15261646_zpid/
House for sale,"$789,000","16905 Scottsdale Rd, Riverside, CA 92504",16905 Scottsdale Rd ,Riverside,CA,92504,33.84606,-117.36301,"2,780",2.46 acres,107157.6,Single Family,2000,4 spaces,None,$284,"$779,387","$3,340/mo",https://www.zillow.com/homedetails/16905-Scottsdale-Rd-Riverside-CA-92504/17886324_zpid/
House for sale,"$1,149,000","1596 N Roosevelt Ave, Pasadena, CA 91104",1596 N Roosevelt Ave ,Pasadena,CA,91104,34.173634,-118.102448,"2,572","6,952 sqft",6952.0,Single Family,1933,2 spaces,None,$447,"$1,149,047","$4,175/mo",https://www.zillow.com/homedetails/1596-N-Roosevelt-Ave-Pasadena-CA-91104/20921323_zpid/
House for sale,"$1,795,000","3285 Coy Dr, Sherman Oaks, CA 91423",3285 Coy Dr ,Sherman Oaks,CA,91423,34.131122,-118.444176,"2,769","8,712 sqft",8712.0,Single Family,1953,6 spaces,null,$648,"$1,174,553","$4,800/mo",https://www.zillow.com/homedetails/3285-Coy-Dr-Sherman-Oaks-CA-91423/19987592_zpid/
House for sale,"$265,000","15284 Sunchaser St, Victorville, CA 92394",15284 Sunchaser St ,Victorville,CA,92394,34.527923,-117.364013,"1,911","6,743 sqft",6743.0,Single Family,2005,2 spaces,null,$139,"$275,620","$1,549/mo",https://www.zillow.com/homedetails/15284-Sunchaser-St-Victorville-CA-92394/64809922_zpid/
House for sale,"$549,900","44774 Longfellow Ave, Temecula, CA 92592",44774 Longfellow Ave ,Temecula,CA,92592,33.476137,-117.071748,"2,648","7,840 sqft",7840.0,Single Family,2000,3 spaces,$35/month,$208,"$549,903","$2,750/mo",https://www.zillow.com/homedetails/44774-Longfellow-Ave-Temecula-CA-92592/52503173_zpid/
House for sale,"$345,000","2913 W Newton Ct, Visalia, CA 93291",2913 W Newton Ct ,Visalia,CA,93291,36.364774,-119.324111,"2,022","8,258 sqft",8258.0,Single Family,2005,3 spaces,None,$171,"$345,001","$1,750/mo",https://www.zillow.com/homedetails/2913-W-Newton-Ct-Visalia-CA-93291/69309860_zpid/
House for sale,"$8,500,000","26077 Scenic Rd, Carmel, CA 93923",26077 Scenic Rd ,Carmel,CA,93923,36.544877,-121.929882,"3,389","5,998 sqft",5998.0,Single Family,2000,1 space,null,"$2,508","$8,073,878","$28,440/mo",https://www.zillow.com/homedetails/26077-Scenic-Rd-Carmel-CA-93923/19332411_zpid/
House for sale,"$324,900","84165 Olona Ct, Indio, CA 92203",84165 Olona Ct ,Indio,CA,92203,33.738866,-116.196519,"1,920","5,227 sqft",5227.0,Single Family,2007,2 spaces,$269/month,$169,null,null,https://www.zillow.com/homedetails/84165-Olona-Ct-Indio-CA-92203/83149531_zpid/
House for sale,"$599,900","2555 Lynda Ln, Fallbrook, CA 92028",2555 Lynda Ln ,Fallbrook,CA,92028,33.441653,-117.282738,"2,780",4 acres,174240.0,Single Family,1991,8 spaces,None,$216,"$599,999","$2,850/mo",https://www.zillow.com/homedetails/2555-Lynda-Ln-Fallbrook-CA-92028/16560247_zpid/
