Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$339,900","1575 E Appleton St Apt 17, Long Beach, CA 90802",1575 E Appleton St Apt 17,Long Beach,CA,90802,33.768774,-118.172095,834,null,null,Condo,1958,1 space,$218/month,$408,"$374,195","$1,800/mo",https://www.zillow.com/homedetails/1575-E-Appleton-St-APT-17-Long-Beach-CA-90802/21238194_zpid/
Condo for sale,"$275,000","540 Windward Way, Sacramento, CA 95831",540 Windward Way ,Sacramento,CA,95831,38.506728,-121.54121,"1,266",null,null,Condo,1973,2 spaces,$365/month,$217,"$275,001","$1,695/mo",https://www.zillow.com/homedetails/540-Windward-Way-Sacramento-CA-95831/25826035_zpid/
Condo for sale,"$439,000","8844 Billfish Way, Sacramento, CA 95828",8844 Billfish Way ,Sacramento,CA,95828,38.474608,-121.373418,"2,161",null,null,Condo,2002,2 spaces,None,$203,"$439,000","$2,195/mo",https://www.zillow.com/homedetails/8844-Billfish-Way-Sacramento-CA-95828/59373196_zpid/
Condo for sale,"$249,000","264 Paseo Gregario, Palm Desert, CA 92211",264 Paseo Gregario ,Palm Desert,CA,92211,33.77582,-116.341869,"1,270",null,null,Condo,2013,2 spaces,$215/month,$196,"$236,263","$1,850/mo",https://www.zillow.com/homedetails/264-Paseo-Gregario-Palm-Desert-CA-92211/122424565_zpid/
Condo for sale,"$275,000","559 Leeward Way, Sacramento, CA 95831",559 Leeward Way ,Sacramento,CA,95831,38.5054,-121.540068,"1,266",null,null,Condo,1973,2 spaces,$365/month,$217,"$274,756","$1,750/mo",https://www.zillow.com/homedetails/559-Leeward-Way-Sacramento-CA-95831/25826248_zpid/
For sale by owner,"$968,000","4655 Natick Ave Unit 1, Los Angeles, CA 91403",4655 Natick Ave Unit 1,Los angeles,CA,91403,34.155927,-118.454699,"2,289",null,null,Condo,1973,3 spaces,$530/month,$423,"$883,218","$3,600/mo",https://www.zillow.com/homedetails/4655-Natick-Ave-UNIT-1-Los-Angeles-CA-91403/19983874_zpid/
Condo for sale,"$1,199,000","456 Carl St, San Francisco, CA 94117",456 Carl St ,San Francisco,CA,94117,37.765167,-122.45687,"1,271",null,null,Condo,1990,Attached Garage,$485/month,$943,"$1,244,339","$4,500/mo",https://www.zillow.com/homedetails/456-Carl-St-San-Francisco-CA-94117/15087567_zpid/
Condo for sale,"$429,000","9725 Cervelli Way, Elk Grove, CA 95757",9725 Cervelli Way ,Elk Grove,CA,95757,38.403748,-121.434442,"1,702",null,null,Condo,2004,4 spaces,None,$252,"$435,600","$2,170/mo",https://www.zillow.com/homedetails/9725-Cervelli-Way-Elk-Grove-CA-95757/61332897_zpid/
Condo for sale,"$214,900","4952 Morningstar Dr, Sacramento, CA 95824",4952 Morningstar Dr ,Sacramento,CA,95824,38.512222,-121.44674,"1,052",null,null,Condo,1986,2 spaces,None,$204,"$230,858","$1,695/mo",https://www.zillow.com/homedetails/4952-Morningstar-Dr-Sacramento-CA-95824/25838453_zpid/
Condo for sale,"$431,873","1415 Indiana St Apt 202, San Francisco, CA 94107",1415 Indiana St Apt 202,San Francisco,CA,94107,37.75236,-122.390172,"1,459",null,null,Condo,2000,Attached Garage,$767/month,$296,"$437,818","$4,200/mo",https://www.zillow.com/homedetails/1415-Indiana-St-APT-202-San-Francisco-CA-94107/80754102_zpid/
