City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio
San Francisco,Condos,CA,94107,"[{'bedroom_type': '2 Beds', 'price': '$3,950'}]","San Francisco, CA 94107",https://www.apartments.com/616-20th-st-san-francisco-ca-unit-440/xdcxezm/,1 BA,744 Sq Ft,744,12 Month Lease,Available Now,,,"$3,950",
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '1 Bed', 'price': '$4,400'}]","Santa Monica, CA 90403",https://www.apartments.com/817-6th-st-santa-monica-ca-unit-c/my4kw4l/,1 BA,750 Sq Ft,750,12 Month Lease,Jul 15,"$4,400",,,
Laguna Beach,Condos,CA,92651,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]","Laguna Beach, CA 92651",https://www.apartments.com/2475-glenneyre-st-laguna-beach-ca/w68l9sj/,3 BAs,"2,250 Sq Ft","2,250",12 Month Lease,Available Now,,"$4,750",,
Palm Springs,Condos,CA,92264,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Palm Springs, CA 92264",https://www.apartments.com/72-portola-dr-palm-springs-ca-unit-72/llxhy9d/,2 BAs,"1,125 Sq Ft","1,125",12 Month Lease,Available Now,,,"$2,400",
San Jose,Condos,CA,95112,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]","San Jose, CA 95112",https://www.apartments.com/1137-n-3rd-st-san-jose-ca/rt2hy21/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,600",,,
Los Angeles,Condos,CA,91406,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","Los Angeles, CA 91406",https://www.apartments.com/15432-gault-st-los-angeles-ca/9bxmnr4/,1 BA,580 Sq Ft,580,12 Month Lease,Available Now,"$1,850",,,
Huntington Beach,Condos,CA,92648,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","Huntington Beach, CA 92648",https://www.apartments.com/19431-sunray-ln-huntington-beach-ca-unit-104/qfqkbfy/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Jul 25,,,"$2,700",
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 90066",https://www.apartments.com/4921-s-centinela-ave-los-angeles-ca/qyw35nw/,1 BA,756 Sq Ft,756,6 Month Lease,Jul 15,,,"$2,200",
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$3,595'}]","Santa Monica, CA 90404",https://www.apartments.com/1234-19th-st-santa-monica-ca-unit-b/qevk96z/,2 BAs,"1,069 Sq Ft","1,069",12 Month Lease,Available Now,,,"$3,595",
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,550'}]","Los Angeles, CA 90049",https://www.apartments.com/11645-montana-ave-los-angeles-ca-unit-335/g0sgryz/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,550",,,
Garden Grove,Condos,CA,92840,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Garden Grove, CA 92840",https://www.apartments.com/12664-chapman-ave-garden-grove-ca-unit-1107/5e21kyp/,2 BAs,"1,120 Sq Ft","1,120",12 Month Lease,Jul 12,,,"$3,500",
San Francisco,Condos,CA,94110,"[{'bedroom_type': '2 Beds', 'price': '$4,900'}]","San Francisco, CA 94110",https://www.apartments.com/1800-bryant-st-san-francisco-ca/h0b7750/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,900",
Manhattan Beach,Condos,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$3,350'}]","214 42nd St, Manhattan Beach, CA 90266",https://www.apartments.com/214-42nd-st-manhattan-beach-ca/5txmdsm/,1 BA,450 Sq Ft,450,12 Month Lease,Jul 15,"$3,350",,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","120 Alamitos Ave, Long Beach, CA 90802",https://www.apartments.com/120-alamitos-ave-long-beach-ca-unit-27/yyzxw9t/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,200",
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]","Los Angeles, CA 90045",https://www.apartments.com/8620-belford-ave-los-angeles-ca-unit-601/84ce0n0/,2½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Jul 18,,,"$3,600",
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$2,990'}]","Los Angeles, CA 90019",https://www.apartments.com/4523-pickford-st-los-angeles-ca/yf8x0pt/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,990",,
