City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Sacramento,Condos,CA,95811,"[{'bedroom_type': 'Studio', 'price': '$1,700'}]","Sacramento, CA 95811",https://www.apartments.com/1900-h-st-sacramento-ca/p97pm6r/,1 BA,450 Sq Ft,450,3 Month Lease,Available Now,,,"$1,700",,
Oakland,Condos,CA,94606,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","Oakland, CA 94606",https://www.apartments.com/802-e-18th-st-oakland-ca/gp9s67y/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,600",,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","215 W Colorado Blvd, Monrovia, CA 91016",https://www.apartments.com/215-w-colorado-blvd-monrovia-ca/3dm7m1g/,1½ BAs,"1,200 Sq Ft","1,200",6 Month Lease,Available Now,,"$2,200",,,
Tustin,Condos,CA,92780,"[{'bedroom_type': '1 Bed', 'price': '$1,675'}]","Tustin, CA 92780",https://www.apartments.com/13722-red-hill-ave-tustin-ca-unit-42/1n2mpl4/,1 BA,590 Sq Ft,590,12 Month Lease,Available Now,,,,"$1,675",
Lakeside,Condos,CA,92040,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","Lakeside, CA 92040",https://www.apartments.com/12553-mapleview-st-lakeside-ca-unit-29/xglnc1p/,0½ BAs,"1,024 Sq Ft","1,024",12 Month Lease,Jul 15,,,,"$1,750",
Palm Desert,Condos,CA,92260,"[{'bedroom_type': '2 Beds', 'price': '$1,550'}]","Palm Desert, CA 92260",https://www.apartments.com/72763-willow-st-palm-desert-ca-unit-3/lcnvl0e/,1 BA,840 Sq Ft,840,12 Month Lease,Available Now,,"$1,550",,,
Los Angeles,Condos,CA,90006,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","1138 Grand View S St, Los Angeles, CA 90006",https://www.apartments.com/1138-grand-view-s-st-los-angeles-ca/7wz915w/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,900",,,
Fallbrook,Condos,CA,92028,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]","Fallbrook, CA 92028",https://www.apartments.com/611-w-fig-st-fallbrook-ca/0lzh9m2/,1 BA,627 Sq Ft,627,12 Month Lease,Available Now,,,,"$1,500",
Claremont,Condos,CA,91711,"[{'bedroom_type': '4 Beds', 'price': '$2,650'}]","130 Marywood Ave, Claremont, CA 91711",https://www.apartments.com/130-marywood-ave-claremont-ca-unit-130/hz0vl23/,2 BAs,"1,508 Sq Ft","1,508",12 Month Lease,Available Now,,,,,"$2,650"
San Francisco,Condos,CA,94109,"[{'bedroom_type': '1 Bed', 'price': '$3,990'}]","San Francisco, CA 94109",https://www.apartments.com/1868-van-ness-ave-san-francisco-ca-unit-601/te6e82c/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$3,990",
Malibu,Condos,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$7,000'}]","Malibu, CA 90265",https://www.apartments.com/25408-malibu-rd-malibu-ca/my2tjwk/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$7,000",
Berkeley,Condos,CA,94704,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","Berkeley, CA 94704",https://www.apartments.com/2-panoramic-way-berkeley-ca-unit-206/nxtq23n/,1 BA,715 Sq Ft,715,10 Month Lease,Aug 1,,,,"$1,600",
San Pedro,Condos,CA,90732,"[{'bedroom_type': '2 Beds', 'price': '$2,690'}]","1385 W 13th St, San Pedro, CA 90732",https://www.apartments.com/1385-w-13th-st-san-pedro-ca/xm2rthn/,1 BA,900 Sq Ft,900,12 Month Lease,Jul 11,,"$2,690",,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$2,145'}]","530 Veteran Ave, Los Angeles, CA 90024",https://www.apartments.com/530-veteran-ave-los-angeles-ca/1qrmyn7/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$2,145",
