"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,"$1,825 ","$2,395 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,595 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,825 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,395 '}]",San Diego,Bay Pointe Apartments,CA,"$1,595 ",Apartment,92109
,,,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}]",Citrus Heights,Huntington Square,CA,,Apartment,95621
,,,"$1,940 ","$2,329 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,791 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,940 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,329 '}]",Costa Mesa,3400 Avenue of the Arts Apartments,CA,"$1,791 ",Apartment,92626
,,,,"$1,280 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,280 '}]",Sacramento,River Terrace,CA,,Apartment,95833
,,,"$1,425 ","$1,575 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,425 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,575 '}]",Santa Clarita,Park Sierra,CA,,Apartment,91351
,,,"$2,990 ","$3,365 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,990 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,365 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Jose,Avalon Morrison Park,CA,,Apartment,95126
,,,"$1,635 ","$1,993 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,635 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,993 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Lake Forest,eaves Lake Forest,CA,,Apartment,92630
,,,"$2,769 ","$3,859 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,769 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,859 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Mateo,CitySouth,CA,,Apartment,94403
,,,"$2,309 ","$2,584 ","$3,237 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,309 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,584 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,237 '}]",Long Beach,Beverly Plaza Apartments,CA,,Apartment,90815
,,,"$2,425 ","$3,150 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,425 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,150 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Diego,Sola,CA,,Apartment,92130
,,,"$1,815 ","$2,334 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,815 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,334 '}]",Orange,Allure,CA,,Apartment,92868
,,,,"$1,755 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,755 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Oceanside,The Dylan Apartment Homes,CA,,Apartment,92058
,,,"$1,485 ","$1,725 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,485 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,725 '}]",San Diego,Village Glen,CA,,Apartment,92123
,,,"$2,900 ","$3,295 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,900 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,295 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}, {'bedroom_type': '4 Bedrooms', 'price': ''}]",San Jose,Santana Row VIA,CA,,Apartment,95128
,,,"$1,150 ","$1,320 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,150 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,320 '}]",Citrus Heights,The Orchard,CA,,Apartment,95610
,,,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Loma Linda,Monterey Pines Apartments,CA,,Apartment,92354
,,,,,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Carmichael,Vista Torre,CA,,Apartment,95608
,,,,"$1,570 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,570 '}]",Riverside,Corona Pointe Resort & Townhomes,CA,,Apartment,92505
,,,"$2,435 ","$3,120 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,435 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,120 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",North Hollywood,NoHo 14,CA,,Apartment,91601
,,,,"$1,710 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,710 '}]",Placentia,Highland Orchard Apartments,CA,,Apartment,92870
,,,"$6,000 ","$8,500 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$6,000 '}, {'bedroom_type': '2 Bedrooms', 'price': '$8,500 '}]",Los Angeles,8500 Burton,CA,,Apartment,90048
,,,"$2,265 ","$3,080 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,950 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,265 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,080 '}]",Los Angeles,sunset + vine,CA,"$1,950 ",Apartment,90028
,,,"$2,333 ",,,,,"[{'bedroom_type': 'Studio', 'price': '$2,201 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,333 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Pasadena,eaves Old Town Pasadena,CA,"$2,201 ",Apartment,91101
,,,,"$2,020 ","$2,220 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,020 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,220 '}]",Upland,Country Club Villas/Country Club Terrace,CA,,Apartment,91784
,,,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Fremont,Pinebrook Apartments,CA,,Apartment,94536
,,,"$1,975 ","$2,090 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,090 '}]",El Cerrito,Civic Plaza Apartments,CA,,Apartment,94530
,,,"$1,883 ","$2,184 ","$3,020 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,883 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,184 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,020 '}]",Lake Forest,Avalon Baker Ranch,CA,,Apartment,92630
,,,"$1,708 ","$1,824 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,708 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,824 '}]",San Diego,The Villas at Camino Bernardo,CA,,Apartment,92127
