3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
5600.0,Palo Alto,Townhomes,CA,94306,"309 College Ave Palo Alto, CA 94306",https://www.apartments.com/309-college-ave-palo-alto-ca/zxpzzxy/,2.5 baths,"1,600 sq ft","1,600",,,,,
9630.0,Del Monte Forest,Townhomes,CA,93953,"67 Spanish Bay Cir Del Monte Forest, CA 93953",https://www.apartments.com/67-spanish-bay-cir-del-monte-forest-ca/kxmrc7c/,3.5 baths,"3,200 sq ft","3,200",,,,,
6000.0,Palo Alto,Townhomes,CA,94306,"2650 Birch St Palo Alto, CA 94306",https://www.apartments.com/2650-birch-st-palo-alto-ca/fvmzlvt/,2.5 baths,"1,888 sq ft","1,888",,,,,
,Santa Clara,Townhomes,CA,95050,"209 Saratoga Ct Santa Clara, CA 95050",https://www.apartments.com/209-saratoga-ct-santa-clara-ca/mx3wybk/,2.5 baths,"1,315 sq ft","1,315",,2795.0,,,
,Sunnyvale,Townhomes,CA,94087,"880 E Fremont Ave Sunnyvale, CA 94087",https://www.apartments.com/880-e-fremont-ave-sunnyvale-ca/3lt049e/,2 baths,930 sq ft,930,,2950.0,,,
,Redwood City,Townhomes,CA,94061,"1564 Kentfield Ave Redwood City, CA 94061",https://www.apartments.com/1564-kentfield-ave-redwood-city-ca/svy2vf7/,1 bath,"1,000 sq ft","1,000",,3200.0,,,
,Mountain View,Townhomes,CA,94043,"2534 W Middlefield Rd Mountain View, CA 94043",https://www.apartments.com/2534-w-middlefield-rd-mountain-view-ca/w9jryrh/,1.5 baths,968 sq ft,968,,3500.0,,,
,Carlsbad,Townhomes,CA,92009,"6305 Citracado Cir Carlsbad, CA 92009",https://www.apartments.com/6305-citracado-cir-carlsbad-ca/zdn66tz/,2 baths,"1,200 sq ft","1,200",,2975.0,,,
3200.0,Carlsbad,Townhomes,CA,92009,"6557 Corte Cisco Carlsbad, CA 92009",https://www.apartments.com/6557-corte-cisco-carlsbad-ca/xerhknp/,2.5 baths,"1,501 sq ft","1,501",,,,,
3200.0,San Diego,Townhomes,CA,92130,"3687 Ruette De Ville San Diego, CA 92130",https://www.apartments.com/3687-ruette-de-ville-san-diego-ca/2xpmt3c/,2.5 baths,"1,498 sq ft","1,498",,,,,
