2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
1785.0,Glendora,Condos,CA,91741,"119 W Bennett Ave Glendora, CA 91741",https://www.apartments.com/119-w-bennett-ave-glendora-ca/ysvxccr/,1 bath,950 sq ft,950,,,,,
2450.0,San Jose,Condos,CA,95118,"5747 Via Monte Dr San Jose, CA 95118",https://www.apartments.com/5747-via-monte-dr-san-jose-ca/7pken2w/,1 bath,800 sq ft,800,,,,,
2680.0,Oakland,Condos,CA,94605,"6147 Seminary Ave Oakland, CA 94605",https://www.apartments.com/6147-seminary-ave-oakland-ca/tndb90b/,1 bath,900 sq ft,900,,,,,
,Santa Monica,Condos,CA,90404,"1253 19th St Santa Monica, CA 90404",https://www.apartments.com/1253-19th-st-santa-monica-ca/gxeh05w/,1 bath,900 sq ft,900,,,2700.0,,
,Millbrae,Condos,CA,94030,"121 S Magnolia Ave Millbrae, CA 94030",https://www.apartments.com/121-s-magnolia-ave-millbrae-ca/5gx4c3m/,1 bath,760 sq ft,760,,,2400.0,,
,Lafayette,Condos,CA,94549,"1015 Dyer Dr Lafayette, CA 94549",https://www.apartments.com/1015-dyer-dr-lafayette-ca/jx5gfp4/,1 bath,550 sq ft,550,,,3500.0,,
,Richmond,Condos,CA,94805,"413 34th St Richmond, CA 94805",https://www.apartments.com/413-34th-st-richmond-ca/ydzfb3s/,1 bath,900 sq ft,900,,,2100.0,,
,Richmond,Condos,CA,94805,"3823 Barrett Ave Richmond, CA 94805",https://www.apartments.com/3823-barrett-ave-richmond-ca/27gn9g8/,1 bath,"1,000 sq ft","1,000",,,2100.0,,
2500.0,Richmond,Condos,CA,94805,"3821 Barrett Ave Richmond, CA 94805",https://www.apartments.com/3821-barrett-ave-richmond-ca/0nrhvl1/,1 bath,"1,000 sq ft","1,000",,,,,
,San Clemente,Condos,CA,92672,"257 Avenida Victoria San Clemente, CA 92672",https://www.apartments.com/257-avenida-victoria-san-clemente-ca/hvn90k1/,1 bath,"1,300 sq ft","1,300",3000.0,,,,
2200.0,Van Nuys,Condos,CA,91405,"14130 Sherman Way Van Nuys, CA 91405",https://www.apartments.com/14130-sherman-way-van-nuys-ca/wdegpkj/,2 baths,"1,175 sq ft","1,175",,,,,
2100.0,Duarte,Condos,CA,91010,"868 Cinnamon Ln Duarte, CA 91010",https://www.apartments.com/868-cinnamon-ln-duarte-ca-unit-61/jye2v86/,1 bath,896 sq ft,896,,,,,
1950.0,Montebello,Condos,CA,90640,"244 S 10th St Montebello, CA 90640",https://www.apartments.com/244-s-10th-st-montebello-ca/mpkwbkk/,2 baths,"1,000 sq ft","1,000",,,,,
,Santa Monica,Condos,CA,90405,"2521 34th St Santa Monica, CA 90405",https://www.apartments.com/2521-34th-st-santa-monica-ca/kqzdvj9/,1 bath,600 sq ft,600,,,,1838.0,
,San Diego,Condos,CA,92104,"3796 Alabama St San Diego, CA 92104",https://www.apartments.com/3796-alabama-st-san-diego-ca-unit-a321/pjy9x5r/,1 bath,378 sq ft,378,,,1500.0,,
,Inglewood,Condos,CA,90303,"11702 Crenshaw Blvd Inglewood, CA 90303",https://www.apartments.com/11702-crenshaw-blvd-inglewood-ca/7fbybjw/,1.5 baths,"1,200 sq ft","1,200",3050.0,,,,
4200.0,Los Angeles,Condos,CA,90024,"10535 Wilshire Blvd Los Angeles, CA 90024",https://www.apartments.com/10535-wilshire-blvd-los-angeles-ca-unit-1709/14bbwc6/,2 baths,"1,088 sq ft","1,088",,,,,
,San Diego,Condos,CA,92105,"5222 Maple St San Diego, CA 92105",https://www.apartments.com/5222-maple-st-san-diego-ca-unit-2/z4xkc6y/,1 bath,700 sq ft,700,,,2200.0,,
,Los Angeles,Condos,CA,90027,"5341 Loma Linda Ave Los Angeles, CA 90027",https://www.apartments.com/5341-loma-linda-ave-los-angeles-ca/lkk079g/,1 bath,650 sq ft,650,,,1795.0,,
1799.0,Los Angeles,Condos,CA,90003,"160 W 61st St Los Angeles, CA 90003",https://www.apartments.com/160-w-61st-st-los-angeles-ca/yhqntqv/,1 bath,675 sq ft,675,,,,,
1875.0,Van Nuys,Condos,CA,91405,"7342 Ventura Canyon Ave Van Nuys, CA 91405",https://www.apartments.com/7342-ventura-canyon-ave-van-nuys-ca/466qbbh/,1 bath,675 sq ft,675,,,,,
2050.0,Anaheim,Condos,CA,92805,"602 W Bellevue Dr Anaheim, CA 92805",https://www.apartments.com/602-w-bellevue-dr-anaheim-ca-unit-2/wtns46j/,1 bath,"1,000 sq ft","1,000",,,,,
,Ontario,Condos,CA,91762,"307 West B Street Ontario, CA 91762",https://www.apartments.com/307-west-b-street-ontario-ca/fj753lr/,1 bath,550 sq ft,550,,,1200.0,,
2550.0,Campbell,Condos,CA,95008,"420 Union Ave Campbell, CA 95008",https://www.apartments.com/420-union-ave-campbell-ca/7qeqxdw/,2 baths,968 sq ft,968,,,2300.0,,
1799.0,Los Angeles,Condos,CA,90003,"160 W 61st St Los Angeles, CA 90003",https://www.apartments.com/160-w-61st-st-los-angeles-ca/yhqntqv/,1 bath,675 sq ft,675,,,,,
1875.0,Van Nuys,Condos,CA,91405,"7342 Ventura Canyon Ave Van Nuys, CA 91405",https://www.apartments.com/7342-ventura-canyon-ave-van-nuys-ca/466qbbh/,1 bath,675 sq ft,675,,,,,
2050.0,Anaheim,Condos,CA,92805,"602 W Bellevue Dr Anaheim, CA 92805",https://www.apartments.com/602-w-bellevue-dr-anaheim-ca-unit-2/wtns46j/,1 bath,"1,000 sq ft","1,000",,,,,
,Ontario,Condos,CA,91762,"307 West B Street Ontario, CA 91762",https://www.apartments.com/307-west-b-street-ontario-ca/fj753lr/,1 bath,550 sq ft,550,,,1200.0,,
2550.0,Campbell,Condos,CA,95008,"420 Union Ave Campbell, CA 95008",https://www.apartments.com/420-union-ave-campbell-ca/7qeqxdw/,2 baths,968 sq ft,968,,,2300.0,,
3000.0,San Diego,Condos,CA,92106,"3662 Quimby St San Diego, CA 92106",https://www.apartments.com/3662-quimby-st-san-diego-ca/k14qtk9/,1 bath,750 sq ft,750,,,,,
2100.0,San Jose,Condos,CA,95127,"3843 Madeline Dr San Jose, CA 95127",https://www.apartments.com/3843-madeline-dr-san-jose-ca/bw45n89/,1 bath,800 sq ft,800,,,,,
