Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$608,211+","1832 Next Gen by Lennar Plan, Prado : Emilia",1832 Next Gen by Lennar Plan,Prado:Emilia,null,null,3,3,"1,832",No Data,null,Townhouse,2021,No Data,null,null,null,$332,https://www.zillow.com/community/prado-emilia/2082868523_zpid/
,"$692,255+","Claret Plan 2 Plan, Claret at Canvas",Claret Plan 2 Plan,ClaretatCanvas,null,null,3,3,"1,695",No Data,null,Townhouse,2021,No Data,$180 monthly,null,null,$408,https://www.zillow.com/community/claret-at-canvas/2075667235_zpid/
,"$714,990+","Residence 5 Plan, Rosecrans Place",Residence 5 Plan,RosecransPlace,null,null,4,4,"2,073",No Data,null,Townhouse,2021,"Garage - Attached, ",null,null,null,$345,https://www.zillow.com/community/rosecrans-place/2077055027_zpid/
,"$682,990+","Plan 3 Plan, Carlow",Plan 3 Plan,Carlow,null,null,3,4,"1,872",No Data,null,Townhouse,2021,No Data,$291 monthly,null,null,$365,https://www.zillow.com/community/carlow/2071558825_zpid/
,"$884,990+","Attached Residence 1 Plan, The 8Eighty",Attached Residence 1 Plan,The8Eighty,null,null,3,3,"1,566",No Data,null,Townhouse,2021,No Data,null,null,null,$565,https://www.zillow.com/community/8eighty/2078389284_zpid/
,"$754,000+","Plan 2X Plan, Pomelo at the Grove",Plan 2X Plan,PomeloattheGrove,null,null,2,3,"1,908",No Data,null,Townhouse,2021,No Data,null,null,null,$395,https://www.zillow.com/community/pomelo-at-grove/2078140810_zpid/
,"$492,880+","Plan 1 Plan, Bayberry at The Groves",Plan 1 Plan,BayberryatTheGroves,null,null,1,2,822,No Data,null,Townhouse,2021,No Data,null,null,null,$600,https://www.zillow.com/community/bayberry-at-groves/2080012949_zpid/
,"$857,990+","Residence 2 Plan, Woodhaven",Residence 2 Plan,Woodhaven,null,null,4,4,"1,613",No Data,null,Townhouse,2021,No Data,null,null,null,$532,https://www.zillow.com/community/woodhaven/2080851362_zpid/
,"$377,880+","Residence 1 Plan, Citrus at Canvas Park at New Haven",Residence 1 Plan,CitrusatCanvasParkatNewHaven,null,null,1,1,972,No Data,null,Townhouse,2021,No Data,null,null,null,$389,https://www.zillow.com/community/citrus-at-canvas-park-at-new-haven/2080441894_zpid/
,"$884,990+","Attached Residence 1 Plan, The 8Eighty",Attached Residence 1 Plan,The8Eighty,null,null,3,3,"1,566",No Data,null,Townhouse,2021,No Data,null,null,null,$565,https://www.zillow.com/community/8eighty/2078389284_zpid/
,"$433,990+","Towns Plan 4 Plan, Foothill Grove",Towns Plan 4 Plan,FoothillGrove,null,null,3,3,"1,575",No Data,null,Townhouse,2021,No Data,null,null,null,$276,https://www.zillow.com/community/foothill-grove/2076663861_zpid/
,"$607,075+","Plan 3 Plan, Park Place",Plan 3 Plan,ParkPlace,null,null,3,4,"2,131",No Data,null,Townhouse,2021,No Data,null,null,null,$285,https://www.zillow.com/community/park-place/2077730690_zpid/
,"$779,990+","Plan Five Plan, The Westerly",Plan Five Plan,TheWesterly,null,null,4,3,"1,990",No Data,null,Townhouse,2021,No Data,null,null,null,$392,https://www.zillow.com/community/westerly/2089228919_zpid/
,"$1,155,880+","Residence 4A ALT Plan, Innovation : Revo",Residence 4A ALT Plan,Innovation:Revo,null,null,3,3,"2,176",No Data,null,Townhouse,2021,No Data,null,null,null,$531,https://www.zillow.com/community/innovation-revo/2087796340_zpid/
,"$2,449,000+","Plan B Plan, Laurel Street Townhomes",Plan B Plan,LaurelStreetTownhomes,null,null,3,3,"2,218",No Data,null,Townhouse,2021,"Garage - Attached, ",null,"$2,576,735",null,"$1,104",https://www.zillow.com/community/laurel-street-townhomes/2071714433_zpid/
,"$1,256,880+","Residence B- Claremont Plan, Foster Square",Residence B- Claremont Plan,FosterSquare,null,null,3,2,"1,586",No Data,null,Townhouse,2021,No Data,null,null,null,$792,https://www.zillow.com/community/foster-square/2088647540_zpid/
,"$1,706,880+","Residence 3 Plan, Estancia",Residence 3 Plan,Estancia,null,null,3,4,"1,687",No Data,null,Townhouse,2021,No Data,null,null,null,"$1,012",https://www.zillow.com/community/estancia/2080747472_zpid/
