City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 – 2 Beds,2 Beds,Studio,1 Bed,3 Beds,1 – 3 Beds,2 – 3 Beds,Studio – 3 Beds
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","Los Angeles, CA 90019",https://www.apartments.com/1003-s-sierra-bonita-ave-los-angeles-ca/5y2dg8n/,1 BA,900 Sq Ft,900,12 Month Lease,Jan 10,,,,"$1,75",,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","Los Angeles, CA 90026",https://www.apartments.com/221-union-pl-los-angeles-ca/t6gh2f8/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,65",,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}]","Los Angeles, CA 90068",https://www.apartments.com/1950-argyle-ave-los-angeles-ca/52c8xfn/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,395",,,,
Los Angeles,Condos,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","7560 Hollywood Blvd, Los Angeles, CA 90046",https://www.apartments.com/7560-hollywood-blvd-los-angeles-ca-unit-305/kqjfk18/,2 BAs,"1,467 Sq Ft","1,467",12 Month Lease,Available Now,,,,,"$4,00",,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$2,61'}]","Los Angeles, CA 90036",https://www.apartments.com/437-s-cochran-ave-los-angeles-ca/6p13jwr/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,61",,,,,,
West Hollywood,Condos,CA,90046,"[{'bedroom_type': '1 Bed', 'price': '$2,39'}]","West Hollywood, CA 90046",https://www.apartments.com/1126-n-vista-st-west-hollywood-ca/8wfbdv0/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$2,39",,,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","Los Angeles, CA 90034",https://www.apartments.com/3133-overland-ave-los-angeles-ca/p6qk7pv/,1 BA,775 Sq Ft,775,12 Month Lease,Available Now,,,,"$1,85",,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,59'}]","Santa Monica, CA 90405",https://www.apartments.com/2425-3rd-st-santa-monica-ca/vhx5d4g/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,"$2,59",,,,
Santa Monica,Condos,CA,90401,"[{'bedroom_type': '1 Bed', 'price': '$2,09'}]","Santa Monica, CA 90401",https://www.apartments.com/1527-11th-st-santa-monica-ca/glx93sx/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$2,09",,,,
San Francisco,Condos,CA,94105,"[{'bedroom_type': '2 Beds', 'price': '$6,50'}]","San Francisco, CA 94105",https://www.apartments.com/301-main-st-san-francisco-ca-unit-27f/hr2bm31/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Jan 9,,"$6,50",,,,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': 'Studio', 'price': '$2,90'}]","8 10th St, San Francisco, CA 94103",https://www.apartments.com/nema-sf-north-tower-8-10th-st-610-san-francisco-ca/5btnqqn/,1 BA,486 Sq Ft,486,,Feb 16,,,"$2,90",,,,,
